_id,id,name,dozent[0],room,study_semester[0],study_semester[1],study_semester[2],study_semester[3],duration,approximate_attendance,need,type[0],type[1],frequency,selected,code,color,note,groups
65d70a20bd82b03aeac92a56,112,Einführung in die Informatik,65d706915c208e7fd4abebab,65d854c3dfc97c0356792f8e,65d71bdb8c4eb66943f53f14,,,,90,100,,1,,3,true,EINF,,,
65d70a35bd82b03aeac92a57,111,Selbst- und Methodenkompetenz,65d706a45c208e7fd4abebac,65d854c3dfc97c0356792f8e,65d71bdb8c4eb66943f53f14,,,,90,100,,1,,3,true,yyy,,test,
65d70a55bd82b03aeac92a58,507,Internet of Things,65d706b15c208e7fd4abebad,65d85564dfc97c0356792f91,65d71c028c4eb66943f53f19,65d71bfb8c4eb66943f53f18,65d71bf78c4eb66943f53f17,65d71bf38c4eb66943f53f16,90,20,1,1,3,3,true,IoT,,,
65d70a6bbd82b03aeac92a59,132,Webentwicklung,65d706b15c208e7fd4abebad,65d85501dfc97c0356792f8f,65d71bf38c4eb66943f53f16,,,,90,80,1,1,,3,true,WEB,,,
65d70a8cbd82b03aeac92a5a,152,User experience,65d706bc5c208e7fd4abebae,65d85609dfc97c0356792fa3,65d71bfb8c4eb66943f53f18,,,,90,70,,1,2,3,true,UX,,,
65d70aafbd82b03aeac92a5b,151,Fullstack Webanwendungen,65d706c75c208e7fd4abebaf,65d85609dfc97c0356792fa3,65d71bf78c4eb66943f53f17,,,,90,70,1,1,3,3,true,FullWEB,,,
65d70acbbd82b03aeac92a5c,125,Statistik,65d706d05c208e7fd4abebb0,65d8558bdfc97c0356792f96,65d71bdf8c4eb66943f53f15,,,,90,140,,1,2,3,true,,,,
65d71e619004f2a19971f8bd,215,machine Learning,65d71e229004f2a19971f8bc,65d855b8dfc97c0356792f97,65d71c2c8c4eb66943f53f1c,,,,90,40,1,1,3,1,true,ML,,,
65d738b5a421a928cd955b63,113,Hardwarekonzepte,65d71e229004f2a19971f8bc,65d854c3dfc97c0356792f8e,65d71bdb8c4eb66943f53f14,,,,90,100,,1,,3,true,HK,,,
65d73918a421a928cd955b64,121,Betriebssysteme,65d706c75c208e7fd4abebaf,65d8556fdfc97c0356792f93,65d71bdf8c4eb66943f53f15,,,,90,110,1,1,,3,true,BS,,,
65d73941a421a928cd955b65,123,Rechernetze und Netzwerksicherheit,65d706c75c208e7fd4abebaf,65d85579dfc97c0356792f94,65d71bdf8c4eb66943f53f15,,,,90,110,2,1,,3,true,RuN,,,
65d73993a421a928cd955b66,131,Softwarequalität,65d706915c208e7fd4abebab,65d85569dfc97c0356792f92,65d71bf38c4eb66943f53f16,,,,90,110,1,1,,3,true,SWQ,,,
65d73a36a421a928cd955b68,214,Digitalisierung und Gesellschaft,65d73a12a421a928cd955b67,,65d71c2c8c4eb66943f53f1c,,,,90,20,,1,2,3,true,DuG,,,
65d73a7ca421a928cd955b6a,302,Network Security,65d73a62a421a928cd955b69,,65d71c088c4eb66943f53f1a,,,,90,20,,1,2,3,true,,#9f00ff,,
65d73abfa421a928cd955b6b,304,Skript-Programmierung,65d706915c208e7fd4abebab,,65d71c088c4eb66943f53f1a,,,,90,20,,1,,1,false,,,,
65d73af9a421a928cd955b6c,305,Kryptographie,65d706915c208e7fd4abebab,,65d71c088c4eb66943f53f1a,65d71c028c4eb66943f53f19,,,90,20,,2,,3,true,,,,
65d73b8da421a928cd955b6d,501,Algorithmen und Datenstrukturen,65d706b15c208e7fd4abebad,,65d71c028c4eb66943f53f19,,,,90,30,,1,2,2,true,AD,#e4cd03,,
65d73c01a421a928cd955b6f,403,3D-Modellierung,65d73be5a421a928cd955b6e,,65d71c1f8c4eb66943f53f1b,,,,90,30,,3,,2,true,3D,,,2
65d741667b2b74e83dedcdc0,141,Requirements Engineering,65d706f05c208e7fd4abebb1,,65d71bf78c4eb66943f53f17,,,,90,80,,1,2,3,true,RE,#9ec0e4,Dies ist zum testen da,
